"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","GA4 Sessions","GA4 Views","GA4 Engaged sessions","GA4 Engagement rate","GA4 Key events","GA4 Event count","GA4 Total revenue","Clicks","Impressions","CTR","Position","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.conair-extractsolutions.co.uk/portfolio-item/canopy-cleaning-before-and-after-1/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","2","","2","2","0","15.380","0","0","0","0","0","0","","","","","","7.580","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/portfolio-item/canopy-cleaning-before-and-after-1/","2026-06-03 09:13:44"
"https://www.conair-extractsolutions.co.uk/portfolio-item/before-and-after-3/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","2","","1","1","0","7.690","0","0","0","0","0","0","","","","","","8.886","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/portfolio-item/before-and-after-3/","2026-06-03 09:13:44"
"https://www.conair-extractsolutions.co.uk/portfolio-item/ductwork-cleaning-before-and-after-1/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","2","","3","3","0","23.080","0","0","0","0","0","0","","","","","","8.552","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/portfolio-item/ductwork-cleaning-before-and-after-1/","2026-06-03 09:13:45"
"https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-41.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2215613","2215613","2215613","328.354","","0","","","","","0.000","3","4","","1","1","0","7.690","0","0","0","0","0","0","","","","","","0.098","Mon, 23 Nov 2020 13:47:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-41.jpg","2026-06-03 09:13:53"
"https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-23.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2611263","2611263","2611263","386.989","","0","","","","","0.000","3","4","","1","1","0","7.690","0","0","0","0","0","0","","","","","","0.098","Mon, 23 Nov 2020 13:47:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-23.jpg","2026-06-03 09:13:53"
"https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-51.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2438359","2438359","2438359","361.365","","0","","","","","0.000","3","4","","1","1","0","7.690","0","0","0","0","0","0","","","","","","0.089","Mon, 23 Nov 2020 13:47:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-51.jpg","2026-06-03 09:13:54"
"https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-14.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2276105","2276105","2276105","337.319","","0","","","","","0.000","3","4","","1","1","0","7.690","0","0","0","0","0","0","","","","","","0.100","Mon, 23 Nov 2020 13:47:17 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-14.jpg","2026-06-03 09:13:54"
"https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-32.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2543884","2543884","2543884","377.004","","0","","","","","0.000","3","4","","1","1","0","7.690","0","0","0","0","0","0","","","","","","0.097","Mon, 23 Nov 2020 13:47:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/photo-32.jpg","2026-06-03 09:13:54"
"http://www.conair-extractsolutions.co.uk/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","13","13","0","100.000","0","0","0","0","0","0","","","","","","8.896","","https://www.conair-extractsolutions.co.uk/","HTTP Redirect","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.conair-extractsolutions.co.uk/","2026-06-03 09:13:45"
"https://www.conair-extractsolutions.co.uk/portfolio-item/ductwork-installation-2/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","2","","1","1","0","7.690","0","0","0","0","0","0","","","","","","10.082","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/portfolio-item/ductwork-installation-2/","2026-06-03 09:13:45"
"https://www.conair-extractsolutions.co.uk/cafe-la-mer/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","1","","6","6","0","46.150","0","0","0","0","0","0","","","","","","6.498","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/cafe-la-mer/","2026-06-03 09:13:50"
"https://www.conair-extractsolutions.co.uk/portfolio-item/ductwork-installation/","text/html; charset=UTF-8","200","OK","Indexable","","Ductwork Installation - Con Air Extract Solutions | Con Air Extract Solutions","77","661","","0","0","","0","Ductwork Installation","21","","0","","0","","0","","","","https://www.conair-extractsolutions.co.uk/portfolio-item/ductwork-installation/","","","","","","22972","6323","6323","0.937","","114","33","3.455","77.171","Fairly Easy","3.478","2","2","","2","2","0","15.380","24","23","0","5","3","0","","","","","267c153ae416bd06e6aa2bef81f20800","9.992","","","","","en-US","1.1","","","","","","","","","","","","96","1883.122","3674.282","2179.147","2179.147","0.000","0.000","10720","0","27","198786","6678","1","42418","4","27653","11","77354","10","44683","1","0","0","0","0","5164","4","","","","","","0","0","0","0","0","10720","0","0","65.358","Good","168.143","Good","198786","0","Avoids redirects","Server responds quickly (observed 1 ms)","Applies text compression","1 issue found","4 resources found","4961","","1946","186944","1 resource found","176","21600","0","0","","40","1 resource found","100","","","100","","","","","","https://www.conair-extractsolutions.co.uk/portfolio-item/ductwork-installation/","2026-06-03 09:13:47"
"https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/SAM_0789-e1438710735319.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","417614","417614","417614","61.890","","0","","","","","0.000","3","4","","1","1","0","7.690","0","0","0","0","0","0","","","","","","0.092","Mon, 23 Nov 2020 13:47:17 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/wp-content/uploads/2014/09/SAM_0789-e1438710735319.jpg","2026-06-03 09:13:57"
"https://www.conair-extractsolutions.co.uk/raddys-cafe-bar/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","1","","4","4","0","30.770","0","0","0","0","0","0","","","","","","7.716","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/raddys-cafe-bar/","2026-06-03 09:13:49"
"https://www.conair-extractsolutions.co.uk/testimonials/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","1","","9","9","0","69.230","0","0","0","0","0","0","","","","","","7.293","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/testimonials/","2026-06-03 09:13:52"
"https://www.conair-extractsolutions.co.uk/author/infoconair-extractsolutions-co-uk/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","2","","23","8","0","61.540","0","0","0","0","0","0","","","","","","10.100","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/author/infoconair-extractsolutions-co-uk/","2026-06-03 09:13:50"
"https://www.conair-extractsolutions.co.uk/papas-traditional-fish-chips/","text/html; charset=iso-8859-1","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","468","468","468","0.069","","0","","","","","0.000","2","1","","6","6","0","46.150","0","0","0","0","0","0","","","","","","10.385","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.conair-extractsolutions.co.uk/papas-traditional-fish-chips/","2026-06-03 09:13:51"
"https://www.conair-extractsolutions.co.uk/latest-news/","text/html; charset=UTF-8","200","OK","Indexable","","Latest News - Con Air Extract Solutions | Con Air Extract Solutions","67","585","","0","0","","0","Latest News","11","","0","Hadley’s at Number One","22","The Old Vicarage Nursing Home – Bridgwater","42","","","","https://www.conair-extractsolutions.co.uk/latest-news/","","","","","","31114","7360","7360","1.091","","559","116","4.819","87.983","Easy","10.290","2","1","","19","9","0","69.230","55","26","0","5","3","0","","","","","832ed537d5a863c53a40058d4b650950","9.890","","","","","en-US","1.1","","","","","","","","","","","","95","2182.981","2333.244","2590.977","2590.977","0.000","0.000","10732","0","25","189198","7715","1","31726","2","27720","11","77354","10","44683","1","0","0","0","0","5231","4","","","","","","0","0","0","0","0","10732","0","0","136.793","Good","472.010","Good","189198","0","Avoids redirects","Server responds quickly (observed 2 ms)","Applies text compression","1 issue found","4 resources found","5581","","933","176252","1 resource found","288","21600","0","0","","20","1 resource found","100","","","100","","","","","","https://www.conair-extractsolutions.co.uk/latest-news/","2026-06-03 09:13:53"
"https://www.conair-extractsolutions.co.uk/murrays-clevedon/","text/html; charset=UTF-8","200","OK","Indexable","","Murrays of Clevedon - Con Air Extract Solutions | Con Air Extract Solutions","75","656","","0","0","","0","Recent Projects","15","Murrays of Clevedon","19","","0","","0","","","","https://www.conair-extractsolutions.co.uk/murrays-clevedon/","","","","","","24640","6664","6664","0.988","","222","57","3.895","76.744","Fairly Easy","5.731","3","1","","2","2","0","15.380","31","24","0","6","4","0","","","","","1fd8d8d5c040a98b6739878fdabf5666","3.525","","","","","en-US","1.1","","","","","","","","","","","","96","2172.577","2250.963","2435.506","2435.506","0.000","0.000","10652","0","25","188503","7020","1","31726","2","27720","11","77354","10","44683","1","0","0","0","0","5231","4","","","","","","0","0","0","0","0","10652","0","0","109.538","Good","387.817","Good","188503","0","Avoids redirects","Server responds quickly (observed 2 ms)","Applies text compression","1 issue found","4 resources found","4960","","881","176252","1 resource found","216","21600","0","0","","20","1 resource found","100","","","100","","","","","","https://www.conair-extractsolutions.co.uk/murrays-clevedon/","2026-06-03 09:14:03"
